iter	Passed	Remaining
0	162	162132
1	164	82212
2	166	55432
3	168	42055
4	178	35528
5	185	30657
6	192	27304
7	195	24236
8	197	21786
9	201	19925
10	203	18271
11	205	16931
12	207	15738
13	209	14724
14	210	13837
15	212	13064
16	214	12420
17	216	11820
18	218	11272
19	220	10790
20	221	10346
21	224	9960
22	225	9588
23	227	9251
24	229	8949
25	231	8663
26	232	8392
27	234	8146
28	236	7917
29	238	7696
30	239	7497
31	241	7310
32	243	7136
33	245	6971
34	247	6813
35	248	6655
36	250	6514
37	251	6377
38	253	6249
39	255	6126
40	257	6013
41	258	5903
42	260	5795
43	262	5694
44	263	5596
45	265	5500
46	266	5411
47	268	5330
48	270	5249
49	272	5173
50	274	5103
51	275	5030
52	277	4960
53	279	4894
54	281	4829
55	282	4768
56	284	4712
57	286	4659
58	288	4606
59	290	4553
60	292	4506
61	294	4456
62	296	4407
63	297	4357
64	299	4314
65	302	4276
66	304	4235
67	304	4179
68	306	4139
69	308	4101
70	310	4061
71	312	4025
72	314	3988
73	315	3953
74	317	3917
75	319	3886
76	321	3853
77	323	3821
78	325	3790
79	326	3757
80	329	3737
81	331	3708
82	332	3678
83	334	3651
84	336	3617
85	337	3591
86	339	3558
87	340	3531
88	342	3510
89	344	3485
90	346	3459
91	348	3436
92	349	3413
93	351	3389
94	353	3366
95	355	3343
96	357	3323
97	358	3303
98	360	3282
99	362	3262
100	363	3239
101	364	3211
102	366	3192
103	368	3172
104	369	3152
105	371	3136
106	373	3118
107	375	3100
108	377	3085
109	379	3070
110	381	3055
111	383	3039
112	385	3024
113	386	3007
114	388	2989
115	389	2970
116	391	2955
117	393	2939
118	394	2921
119	396	2906
120	397	2891
121	400	2879
122	401	2859
123	402	2844
124	404	2831
125	406	2817
126	407	2803
127	408	2785
128	410	2772
129	412	2759
130	414	2747
131	415	2734
132	417	2721
133	419	2709
134	420	2697
135	422	2684
136	424	2672
137	425	2658
138	427	2647
139	429	2637
140	430	2625
141	432	2613
142	434	2603
143	435	2591
144	437	2580
145	439	2569
146	440	2558
147	442	2548
148	444	2538
149	446	2528
150	447	2517
151	449	2507
152	451	2497
153	452	2487
154	454	2477
155	456	2467
156	457	2457
157	459	2447
158	460	2438
159	462	2428
160	464	2418
161	465	2410
162	467	2401
163	469	2391
164	471	2385
165	473	2377
166	474	2369
167	476	2360
168	478	2351
169	479	2342
170	481	2335
171	483	2326
172	485	2318
173	486	2310
174	488	2301
175	489	2294
176	491	2285
177	493	2277
178	494	2269
179	496	2261
180	497	2249
181	498	2241
182	500	2234
183	502	2226
184	503	2218
185	505	2211
186	506	2203
187	508	2196
188	510	2188
189	511	2181
190	513	2175
191	515	2168
192	516	2161
193	518	2153
194	520	2146
195	521	2139
196	523	2133
197	524	2125
198	526	2119
199	528	2114
200	530	2107
201	531	2101
202	533	2094
203	535	2087
204	536	2080
205	538	2074
206	539	2067
207	541	2061
208	543	2055
209	544	2048
210	546	2043
211	547	2036
212	549	2029
213	550	2023
214	552	2017
215	554	2012
216	556	2007
217	557	2000
218	559	1994
219	561	1989
220	562	1983
221	564	1977
222	565	1971
223	567	1965
224	569	1960
225	570	1954
226	572	1948
227	573	1942
228	575	1937
229	576	1931
230	578	1926
231	580	1920
232	581	1915
